,Zona,termino,menciones
143,Cinco Esquinas,casado vegetariano,0
144,Cinco Esquinas,Cazuela de mariscos,0
145,Cinco Esquinas,Cerveza,2
146,Cinco Esquinas,Ceviche,0
147,Cinco Esquinas,Ceviche de banano,0
148,Cinco Esquinas,Ceviche de camarón,0
149,Cinco Esquinas,Ceviche de chayote,0
150,Cinco Esquinas,Ceviche de chucheca,0
151,Cinco Esquinas,Ceviche de coco,0
152,Cinco Esquinas,Ceviche de coliflor,0
153,Cinco Esquinas,Ceviche de lentejas,0
154,Cinco Esquinas,Ceviche de manga,0
155,Cinco Esquinas,Ceviche de pechuga de pollo,0
156,Cinco Esquinas,Ceviche de pejibaye,0
157,Cinco Esquinas,Ceviche de pescado,0
158,Cinco Esquinas,Ceviche de piangua,0
159,Cinco Esquinas,Ceviche de piña,0
160,Cinco Esquinas,Ceviche de pipa,0
161,Cinco Esquinas,Ceviche de pipa tierna,0
162,Cinco Esquinas,Ceviche de plátano,0
163,Cinco Esquinas,Ceviche de plátano tierno,0
164,Cinco Esquinas,Ceviche de pulpo,0
165,Cinco Esquinas,Ceviche mixto,0
166,Cinco Esquinas,Ceviche mixto de pescado y camarón,0
167,Cinco Esquinas,Ceviche porteño,0
168,Cinco Esquinas,Ceviche tropical,0
169,Cinco Esquinas,ceviche vuelve a la vida,0
170,Cinco Esquinas,chalupas,0
171,Cinco Esquinas,Chancletas de chayote,0
172,Cinco Esquinas,chayote con maíz dulce,0
173,Cinco Esquinas,chicasquil,0
174,Cinco Esquinas,Chicha,0
175,Cinco Esquinas,Chicha de maíz,0
176,Cinco Esquinas,chicharrones,0
177,Cinco Esquinas,Chicheme,0
178,Cinco Esquinas,Chifrijo,0
179,Cinco Esquinas,chilaquiles,0
180,Cinco Esquinas,chile dulce relleno,0
181,Cinco Esquinas,Chile relleno,0
182,Cinco Esquinas,Chileras criollas,0
183,Cinco Esquinas,chimichurri,0
184,Cinco Esquinas,chinchiví,0
185,Cinco Esquinas,chino,2
186,Cinco Esquinas,chirrijo,0
187,Cinco Esquinas,Chocolate,0
188,Cinco Esquinas,chocolate con leche,0
189,Cinco Esquinas,chop suey,0
190,Cinco Esquinas,chorizo francés,0
191,Cinco Esquinas,chorreadas,0
192,Cinco Esquinas,Chorreadas de elote,0
193,Cinco Esquinas,chow mein,0
194,Cinco Esquinas,Chuchecas,0
195,Cinco Esquinas,chuleta,0
196,Cinco Esquinas,Churchill,0
197,Cinco Esquinas,churrasco a la parrilla,0
198,Cinco Esquinas,cocadas,0
199,Cinco Esquinas,coconut gater,0
200,Cinco Esquinas,coctel de camarón,0
201,Cinco Esquinas,coctel de cambute,0
202,Cinco Esquinas,coctel de ostras,0
203,Cinco Esquinas,coctel mixto,0
204,Cinco Esquinas,cocteles,0
205,Cinco Esquinas,colombiana,0
206,Cinco Esquinas,comida italiana,0
207,Cinco Esquinas,comida mexicana,0
208,Cinco Esquinas,comida rápida y comidas rápidas,0
209,Cinco Esquinas,comidas rápidas,0
210,Cinco Esquinas,Comidas vegetarianas,0
211,Cinco Esquinas,Confites de zanahoria,0
212,Cinco Esquinas,Conserva de coco,0
213,Cinco Esquinas,Conserva de papaya,0
214,Cinco Esquinas,conserva de toronja,0
215,Cinco Esquinas,consomé de pollo con vegetales,0
216,Cinco Esquinas,Corona de yuca,0
217,Cinco Esquinas,corvina,0
218,Cinco Esquinas,Cosposa,0
219,Cinco Esquinas,Cosposas de elote,0
220,Cinco Esquinas,costilla a la barbacoa,1
221,Cinco Esquinas,costilla baby back,1
222,Cinco Esquinas,costilla bbq,0
223,Cinco Esquinas,costilla de cerdo y costillas,0
224,Cinco Esquinas,costilla frita,0
225,Cinco Esquinas,costillas,40
226,Cinco Esquinas,crema,0
227,Cinco Esquinas,Crema de ayote sazón,0
228,Cinco Esquinas,Crema de cacao,0
229,Cinco Esquinas,crepas,0
230,Cinco Esquinas,Cuajada,0
231,Cinco Esquinas,Cubases,0
